year,round,pick,overall_pick,owner_id,drafting_team,player,position,nfl_team,image_path
2025,1,1,1,Gary,Gary,Bijan Robinson,RB,,,
2025,1,2,2,Kyle,Kyle,Ja'Marr Chase,WR,,,
2025,1,3,3,Jake,Jake,Justin Jefferson,WR,,,
2025,1,4,4,Muffin,Muffin,Saquon Barkley,RB,,,
2025,1,5,5,Bard,Bard,CeeDee Lamb,WR,,,
2025,1,6,6,Sco,Sco,Jahmyr Gibbs,RB,,,
2025,1,7,7,Hunter,Hunter,Malik Nabers,WR,,,
2025,1,8,8,Miner,Miner,Ashton Jeanty,RB,,,
2025,2,1,9,Miner,Miner,Amon-Ra St. Brown,WR,,,
2025,2,2,10,Hunter,Hunter,De'Von Achane,RB,,,
2025,2,3,11,Sco,Sco,Nico Collins,WR,,,
2025,2,4,12,Bard,Bard,Puka Nacua,WR,,,
2025,2,5,13,Muffin,Muffin,Christian McCaffrey,RB,,,
2025,2,6,14,Jake,Jake,Derrick Henry,RB,,,
2025,2,7,15,Kyle,Kyle,Jonathan Taylor,RB,,,
2025,2,8,16,Gary,Gary,Josh Jacobs,RB,,,
2025,3,1,17,Gary,Gary,A.J. Brown,WR,,,
2025,3,2,18,Kyle,Kyle,Trey McBride,TE,,,
2025,3,3,19,Jake,Jake,Brian Thomas,WR,,,
2025,3,4,20,Muffin,Muffin,Brock Bowers,TE,,,
2025,3,5,21,Bard,Bard,Tyreek Hill,WR,,,
2025,3,6,22,Sco,Sco,Chase Brown,RB,,,
2025,3,7,23,Hunter,Hunter,Drake London,WR,,,
2025,3,8,24,Miner,Miner,Bucky Irving,RB,,,
2025,4,1,25,Miner,Miner,Ladd McConkey,WR,,,
2025,4,2,26,Hunter,Hunter,James Cook,RB,,,
2025,4,3,27,Sco,Sco,George Kittle,TE,,,
2025,4,4,28,Bard,Bard,Kyren Williams,RB,,,
2025,4,5,29,Muffin,Muffin,Tee Higgins,WR,,,
2025,4,6,30,Jake,Jake,Josh Allen,QB,,,
2025,4,7,31,Kyle,Kyle,Lamar Jackson,QB,,,
2025,4,8,32,Gary,Gary,Joe Burrow,QB,,,
2025,5,1,33,Gary,Gary,Davante Adams,WR,,,
2025,5,2,34,Kyle,Kyle,Alvin Kamara,RB,,,
2025,5,3,35,Jake,Jake,Omarion Hampton,RB,,,
2025,5,4,36,Muffin,Muffin,Jayden Daniels,QB,,,
2025,5,5,37,Bard,Bard,Jalen Hurts,QB,,,
2025,5,6,38,Sco,Sco,Terry McLaurin,WR,,,
2025,5,7,39,Hunter,Hunter,Jaxon Smith-Njigba,WR,,,
2025,5,8,40,Miner,Miner,Mike Evans,WR,,,
2025,6,1,41,Miner,Miner,Baker Mayfield,QB,,,
2025,6,2,42,Hunter,Hunter,TreVeyon Henderson,RB,,,
2025,6,3,43,Sco,Sco,Patrick Mahomes,QB,,,
2025,6,4,44,Bard,Bard,Breece Hall,RB,,,
2025,6,5,45,Muffin,Muffin,Kenneth Walker,RB,,,
2025,6,6,46,Jake,Jake,Sam LaPorta,TE,,,
2025,6,7,47,Kyle,Kyle,Xavier Worthy,WR,,,
2025,6,8,48,Gary,Gary,DK Metcalf,WR,,,
2025,7,1,49,Gary,Gary,Chuba Hubbard,RB,,,
2025,7,2,50,Kyle,Kyle,Marvin Harrison,WR,,,
2025,7,3,51,Jake,Jake,Garrett Wilson,WR,,,
2025,7,4,52,Muffin,Muffin,DJ Moore,WR,,,
2025,7,5,53,Bard,Bard,Travis Kelce,TE,,,
2025,7,6,54,Sco,Sco,Zay Flowers,WR,,,
2025,7,7,55,Hunter,Hunter,T.J. Hockenson,TE,,,
2025,7,8,56,Miner,Miner,D'Andre Swift,RB,,,
2025,8,1,57,Miner,Miner,Courtland Sutton,WR,,,
2025,8,2,58,Hunter,Hunter,Bo Nix,QB,,,
2025,8,3,59,Sco,Sco,David Montgomery,RB,,,
2025,8,4,60,Bard,Bard,Rashee Rice,WR,,,
2025,8,5,61,Muffin,Muffin,Calvin Ridley,WR,,,
2025,8,6,62,Jake,Jake,James Conner,RB,,,
2025,8,7,63,Kyle,Kyle,Isiah Pacheco,RB,,,
2025,8,8,64,Gary,Gary,David Njoku,TE,,,
2025,9,1,65,Gary,Gary,George Pickens,WR,,,
2025,9,2,66,Kyle,Kyle,Jaylen Waddle,WR,,,
2025,9,3,67,Jake,Jake,Jerry Jeudy,WR,,,
2025,9,4,68,Muffin,Muffin,Tetairoa McMillan,WR,,,
2025,9,5,69,Bard,Bard,Aaron Jones,RB,,,
2025,9,6,70,Sco,Sco,Travis Hunter,WR,,,
2025,9,7,71,Hunter,Hunter,DeVonta Smith,WR,,,
2025,9,8,72,Miner,Miner,RJ Harvey,RB,,,
2025,10,1,73,Miner,Miner,Joe Mixon,RB,,,
2025,10,2,74,Hunter,Hunter,Jameson Williams,WR,,,
2025,10,3,75,Sco,Sco,Tony Pollard,RB,,,
2025,10,4,76,Bard,Bard,Matthew Golden,WR,,,
2025,10,5,77,Muffin,Muffin,Tyrone Tracy,RB,,,
2025,10,6,78,Jake,Jake,Rome Odunze,WR,,,
2025,10,7,79,Kyle,Kyle,Stefon Diggs,WR,,,
2025,10,8,80,Gary,Gary,Cooper Kupp,WR,,,
2025,11,1,81,Gary,Gary,Jaylen Warren,RB,,,
2025,11,2,82,Kyle,Kyle,Brian Robinson,RB,,,
2025,11,3,83,Jake,Jake,Chris Olave,WR,,,
2025,11,4,84,Muffin,Muffin,Kaleb Johnson,RB,,,
2025,11,5,85,Bard,Bard,Rhamondre Stevenson,RB,,,
2025,11,6,86,Sco,Sco,Jakobi Meyers,WR,,,
2025,11,7,87,Hunter,Hunter,J.K. Dobbins,RB,,,
2025,11,8,88,Miner,Miner,Mark Andrews,TE,,,
2025,12,1,89,Miner,Miner,Khalil Shakir,WR,,,
2025,12,2,90,Hunter,Hunter,Deebo Samuel,WR,,,
2025,12,3,91,Sco,Sco,Chris Godwin,WR,,,
2025,12,4,92,Bard,Bard,Brandon Aubrey,K,,,
2025,12,5,93,Muffin,Muffin,Steelers,DEF,,,
2025,12,6,94,Jake,Jake,Quinshon Judkins,RB,,,
2025,12,7,95,Kyle,Kyle,Jake Bates,K,,,
2025,12,8,96,Gary,Gary,Chase McLaughlin,K,,,
2025,13,1,97,Gary,Gary,Texans,DEF,,,
2025,13,2,98,Kyle,Kyle,Broncos,DEF,,,
2025,13,3,99,Jake,Jake,Ravens ,DEF,,,
2025,13,4,100,Muffin,Muffin,Tyler Warren,TE,,,
2025,13,5,101,Bard,Bard,Eagles ,DEF,,,
2025,13,6,102,Sco,Sco,Vikings,DEF,,,
2025,13,7,103,Hunter,Hunter,Lions ,DEF,,,
2025,13,8,104,Miner,Miner,Harrison Butker,K,,,
2025,14,1,105,Miner,Miner,Patriots ,DEF,,,
2025,14,2,106,Hunter,Hunter,Cameron Dicker,K,,,
2025,14,3,107,Sco,Sco,Jake Elliott,K,,,
2025,14,4,108,Bard,Bard,Tank Bigsby,RB,,,
2025,14,5,109,Muffin,Muffin,Chris Boswell,K,,,
2025,14,6,110,Jake,Jake,Tyler Bass,K,,,
2025,14,7,111,Kyle,Kyle,Javonte Williams,RB,,,
2025,14,8,112,Gary,Gary,Jauan Jennings,WR,,,
2024,1,1,1,Hunter,Hunter,Christian McCaffrey,RB,,,
2024,1,2,2,Kyle,Kyle,Breece Hall,RB,,,
2024,1,3,3,Sco,Sco,Tyreek Hill,WR,,,
2024,1,4,4,Jake,Jake,Bijan Robinson,RB,,,
2024,1,5,5,Bard,Bard,Ja'Marr Chase,WR,,,
2024,1,6,6,Miner,Miner,Amon-Ra St. Brown,WR,,,
2024,1,7,7,Gary,Gary,CeeDee Lamb,WR,,,
2024,1,8,8,Muffin,Muffin,Justin Jefferson,WR,,,
2024,2,1,9,Hunter,Hunter,Isiah Pacheco,RB,,,
2024,2,2,10,Kyle,Kyle,Davante Adams,WR,,,
2024,2,3,11,Sco,Sco,Jahmyr Gibbs,RB,,,
2024,2,4,12,Jake,Jake,Garrett Wilson,WR,,,
2024,2,5,13,Bard,Bard,A.J. Brown,WR,,,
2024,2,6,14,Miner,Miner,Jonathan Taylor,RB,,,
2024,2,7,15,Gary,Gary,Puka Nacua,WR,,,
2024,2,8,16,Muffin,Muffin,Saquon Barkley,RB,,,
2024,3,1,17,Hunter,Hunter,Marvin Harrison,WR,,,
2024,3,2,18,Kyle,Kyle,Kyren Williams,RB,,,
2024,3,3,19,Sco,Sco,Michael Pittman Jr.,WR,,,
2024,3,4,20,Jake,Jake,Travis Etienne,RB,,,
2024,3,5,21,Bard,Bard,Chris Olave,WR,,,
2024,3,6,22,Miner,Miner,Drake London,WR,,,
2024,3,7,23,Gary,Gary,Malik Nabers,WR,,,
2024,3,8,24,Muffin,Muffin,Derrick Henry,RB,,,
2024,4,1,25,Hunter,Hunter,Cooper Kupp,WR,,,
2024,4,2,26,Kyle,Kyle,Travis Kelce,TE,,,
2024,4,3,27,Sco,Sco,Stefon Diggs,WR,,,
2024,4,4,28,Jake,Jake,Mike Evans,WR,,,
2024,4,5,29,Bard,Bard,De'Von Achane,RB,,,
2024,4,6,30,Miner,Miner,Joe Mixon,RB,,,
2024,4,7,31,Gary,Gary,Sam LaPorta,TE,,,
2024,4,8,32,Muffin,Muffin,DJ Moore,WR,,,
2024,5,1,33,Hunter,Hunter,Alvin Kamara,RB,,,
2024,5,2,34,Kyle,Kyle,James Cook,RB,,,
2024,5,3,35,Sco,Sco,Jalen Hurts,QB,,,
2024,5,4,36,Jake,Jake,Nico Collins,WR,,,
2024,5,5,37,Bard,Bard,Josh Jacobs,RB,,,
2024,5,6,38,Miner,Miner,Josh Allen,QB,,,
2024,5,7,39,Gary,Gary,Kenneth Walker,RB,,,
2024,5,8,40,Muffin,Muffin,Rachaad White,RB,,,
2024,6,1,41,Hunter,Hunter,DeVonta Smith,WR,,,
2024,6,2,42,Kyle,Kyle,Anthony Richardson,QB,,,
2024,6,3,43,Sco,Sco,Mark Andrews,TE,,,
2024,6,4,44,Jake,Jake,DK Metcalf,WR,,,
2024,6,5,45,Bard,Bard,Jaylen Waddle,WR,,,
2024,6,6,46,Miner,Miner,Zay Flowers,WR,,,
2024,6,7,47,Gary,Gary,Lamar Jackson,QB,,,
2024,6,8,48,Muffin,Muffin,Patrick Mahomes,QB,,,
2024,7,1,49,Hunter,Hunter,C.J. Stroud,QB,,,
2024,7,2,50,Kyle,Kyle,Deebo Samuel,WR,,,
2024,7,3,51,Sco,Sco,D'Andre Swift,RB,,,
2024,7,4,52,Jake,Jake,Brandon Aiyuk,WR,,,
2024,7,5,53,Bard,Bard,Chris Godwin,WR,,,
2024,7,6,54,Miner,Miner,Amari Cooper,WR,,,
2024,7,7,55,Gary,Gary,George Pickens,WR,,,
2024,7,8,56,Muffin,Muffin,Calvin Ridley,WR,,,
2024,8,1,57,Hunter,Hunter,Keenan Allen,WR,,,
2024,8,2,58,Kyle,Kyle,Diontae Johnson,WR,,,
2024,8,3,59,Sco,Sco,James Conner,RB,,,
2024,8,4,60,Jake,Jake,Aaron Jones,RB,,,
2024,8,5,61,Bard,Bard,Joe Burrow,QB,,,
2024,8,6,62,Miner,Miner,Rhamondre Stevenson,RB,,,
2024,8,7,63,Gary,Gary,Zamir White,RB,,,
2024,8,8,64,Muffin,Muffin,Evan Engram,TE,,,
2024,9,1,65,Hunter,Hunter,Dalton Kincaid,TE,,,
2024,9,2,66,Kyle,Kyle,Terry McLaurin,WR,,,
2024,9,3,67,Sco,Sco,DeAndre Hopkins,WR,,,
2024,9,4,68,Jake,Jake,Trey McBride,TE,,,
2024,9,5,69,Bard,Bard,George Kittle,TE,,,
2024,9,6,70,Miner,Miner,Rashee Rice,WR,,,
2024,9,7,71,Gary,Gary,Xavier Worthy,WR,,,
2024,9,8,72,Muffin,Muffin,Tee Higgins,WR,,,
2024,10,1,73,Hunter,Hunter,Raheem Mostert,RB,,,
2024,10,2,74,Kyle,Kyle,Brian Robinson,RB,,,
2024,10,3,75,Sco,Sco,Jaxon Smith-Njigba,WR,,,
2024,10,4,76,Jake,Jake,Najee Harris,RB,,,
2024,10,5,77,Bard,Bard,David Montgomery,RB,,,
2024,10,6,78,Miner,Miner,Jonathon Brooks,RB,,,
2024,10,7,79,Gary,Gary,Austin Ekeler,RB,,,
2024,10,8,80,Muffin,Muffin,Tank Dell,WR,,,
2024,11,1,81,Hunter,Hunter,Christian Watson,WR,,,
2024,11,2,82,Kyle,Kyle,Brandon Aubrey,K,,,
2024,11,3,83,Sco,Sco,Browns ,DEF,,,
2024,11,4,84,Jake,Jake,Devin Singletary,RB,,,
2024,11,5,85,Bard,Bard,Tony Pollard,RB,,,
2024,11,6,86,Miner,Miner,Christian Kirk,WR,,,
2024,11,7,87,Gary,Gary,Jaylen Warren,RB,,,
