year,date,location,format,first_pick,first_pick_team
2026,Labor Day,Sparrow Bush,In Person,Bijan Robinson,Gary
2025,Labor Day,Windham NY,In Person,Bijan Robinson,Gary
2024,Hunt's Birthday Weekend,Cape Cod,In Person,Christian McCaffrey,Hunter
2023,Labor Day,Wells VT,In Person,Justin Jefferson,Muffin
2022,Labor Day,Port Deposit MD,In Person,Jonathan Taylor,Jake
2021,Labor Day,Sco's DC Patio,In Person,Christian McCaffrey,Kyle
2020,IDK,Bard's Backyard,In Person,Christian McCaffrey,Muffin
2019,IDK,Gary's Garage,In Person,Saquon Barkley,Gary
2018,IDK,Gary's Backyard,In Person,Todd Gurley II,Jake
2017,IDK,Bard's Backyard,In Person,Le'Veon Bell,Gary
2016,IDK,Bard's Backyard,Online,Todd Gurley,Miner
2015,IDK,Muffin's Home,In Person,Adrian Peterson,Sabella
2014,IDK,TBD,Online,Adrian Peterson,Sabella
