year,rank,owner_id,team,team_rating,record,win_pct,points_for,avg_for,points_against,avg_against,point_margin,avg_point_margin,moves
2025,1,kyle,Life Sucks then You Die,1.56,10-4,0.71,1788,127.71,1637,116.92,151,10.78,10
2025,2,bard,The Commish,1.54,9-5,0.64,1822,130.14,1883,134.5,-61,-4.35,29
2025,3,gary,The Fantasy Football Team,1,8-6,0.57,1793,128.07,1639,117.07,151,10.78,18
2025,4,hunter,Most Valuable Potheads,1.48,7-7,0.5,1868,133.42,1672,119.42,196,14,18
2025,5,muffin,Committed Not Addicted,1.53,7-7,0.5,1801,128.64,1729,123.5,72,5.14,29
2025,6,sco,Bard Top Hunter Bottom,1.36,5-9,0.36,1680,120,1833,130.92,-153,-10.92,17
2025,7,jake,Cincinnati Harambes,1.24,5-9,0.36,1547,110.5,1704,121.71,-157,-11.21,23
2025,8,miner,Jakes Brothers and Sisters,1.22,5-9,0.36,1499,107.07,1698,121.28,-199,-14.21,22
2024,1,muffin,Committed Not Addicted,1.67,10-3-1,0.75,1918,137,1702,121.57,216,15.42,21
2024,2,bard,The Commish,1.72,10-4,0.71,1998,142.71,1652,118.3,346,24.71,28
2024,3,gary,The Fantasy Football Team,1.64,9-5,0.64,1827,130.5,1749,124.92,78,5.57,34
2024,4,jake,Cincinnati Harambes,1.47,8-6,0.57,1756,125.42,1626,116.14,130,9.28,22
2024,5,hunter,Most Valuable Potheads,1.35,6-7-1,0.46,1590,113.57,1728,123.42,-138,-9.85,30
2024,6,sco,Bard Top Hunter Bottom,1.23,5-9,0.36,1590,113.57,1713,122.35,-123,-8.78,15
2024,7,miner,Jakes Brothers and Sisters,1.29,4-10,0.28,1699,121.35,1848,132,-149,-10.64,14
2024,8,kyle,Life Sucks then You Die,1.14,3-11,0.21,1548,110.57,1908,136.28,-360,-25.71,15
2023,1,gary,The Fantasy Football Team,1.64,10-4,0.64,1941,138.64,1848,132,93,6.64,35
2023,2,bard,The Commish,1.63,10-4,0.64,1919,137.07,1550,110.71,369,26.35,30
2023,3,muffin,Committed Not Addicted,1.54,9-5,0.57,1820,130,1697,121.21,123,8.78,14
2023,4,jake,Cincinnati Harambes,1.44,5-9,0.5,1733,123.78,1889,134.92,-156,-11.14,19
2023,5,sco,Bard Top Hunter Bottom,1.45,8-6,0.43,1793,128.07,1658,118.42,135,9.64,11
2023,6,miner,Jakes Brothers and Sisters,1.31,5-9,0.43,1611,115.07,1822,130.14,-211,-15.07,22
