owner_id,record_name,value,year,notes
bard,Best Career Win Percentage,.646%,2014-Present,TBD
bard,Most Career Wins,122,,2014-Present,TBD
bard,Most Playoff Appearances,12,2014-Present,TBD
bard,Most Championship Game Appearances,6,2014 to 2017 2020 to 2021,TBD
jake,Most Championships,3,2016 2019 2023,TBD
jake,Best Championship Record,3-0,,TBD
muffin,Team Record Held,TBD,TBD,TBD
miner,Team Record Held,TBD,TBD,TBD
kyle,Team Record Held,TBD,TBD,TBD
hunter,Team Record Held,TBD,TBD,TBD
gary,Team Record Held,TBD,TBD,TBD
sco,Team Record Held,TBD,TBD,TBD
